worker_event_id,worker_id,candidate_id,application_id,requisition_id,event_type,event_date,termination_reason,updated_at,extracted_at
WE-0000001,W-100001,CAND-0000030,APP-0000030,REQ-2024-00002,start,2024-03-04,,2024-03-07T09:12:41Z,2026-05-31T23:59:59Z
WE-0000002,W-100002,CAND-0000034,APP-0000034,REQ-2024-00002,start,2024-03-11,,2024-03-14T14:07:47Z,2026-05-31T23:59:59Z
WE-0000003,W-100003,CAND-0000041,APP-0000041,REQ-2024-00001,start,2024-03-25,,2024-03-28T18:32:05Z,2026-05-31T23:59:59Z
WE-0000004,W-100004,CAND-0000086,APP-0000086,REQ-2024-00005,start,2024-04-29,,2024-05-02T10:25:10Z,2026-05-31T23:59:59Z
WE-0000005,W-100005,CAND-0000089,APP-0000089,REQ-2024-00006,start,2024-06-03,,2024-06-04T17:26:40Z,2026-05-31T23:59:59Z
WE-0000006,W-100006,CAND-0000101,APP-0000102,REQ-2024-00004,start,2024-06-10,,2024-06-10T12:27:22Z,2026-05-31T23:59:59Z
WE-0000007,W-100007,CAND-0000106,APP-0000107,REQ-2024-00003,start,2024-07-15,,2024-07-16T18:11:08Z,2026-05-31T23:59:59Z
WE-0000008,W-100008,CAND-0000111,APP-0000112,REQ-2024-00007,start,2024-07-22,,2024-07-24T11:35:09Z,2026-05-31T23:59:59Z
WE-0000009,W-100009,CAND-0000133,APP-0000134,REQ-2024-00007,start,2024-07-29,,2024-07-29T17:44:27Z,2026-05-31T23:59:59Z
WE-0000010,W-100010,CAND-0000142,APP-0000144,REQ-2024-00008,start,2024-09-02,,2024-09-05T18:29:50Z,2026-05-31T23:59:59Z
WE-0000011,W-100011,CAND-0000164,APP-0000166,REQ-2024-00009,start,2024-10-14,,2024-10-15T10:16:40Z,2026-05-31T23:59:59Z
WE-0000012,W-100011,CAND-0000164,APP-0000166,REQ-2024-00009,termination,2024-11-08,voluntary_resignation,2024-11-13T14:49:22Z,2026-05-31T23:59:59Z
WE-0000013,W-100009,CAND-0000133,APP-0000134,REQ-2024-00007,termination,2024-12-13,involuntary_performance,2024-12-16T17:36:36Z,2026-05-31T23:59:59Z
WE-0000014,W-100012,CAND-0000187,APP-0000189,REQ-2024-00011,start,2025-01-27,,2025-01-28T09:01:59Z,2026-05-31T23:59:59Z
WE-0000015,W-100013,CAND-0000202,APP-0000204,REQ-2024-00012,start,2025-03-03,,2025-03-06T11:30:25Z,2026-05-31T23:59:59Z
WE-0000016,W-100005,CAND-0000089,APP-0000089,REQ-2024-00006,termination,2025-03-13,voluntary_resignation,2025-03-14T08:09:15Z,2026-05-31T23:59:59Z
WE-0000017,W-100014,CAND-0000268,APP-0000276,REQ-2025-00001,start,2025-06-09,,2025-06-11T16:47:57Z,2026-05-31T23:59:59Z
WE-0000018,W-100015,CAND-0000277,APP-0000285,REQ-2025-00003,start,2025-06-09,,2025-06-11T11:38:20Z,2026-05-31T23:59:59Z
WE-0000019,W-100016,CAND-0000297,APP-0000308,REQ-2025-00003,start,2025-06-09,,2025-06-09T18:15:22Z,2026-05-31T23:59:59Z
WE-0000020,W-100017,CAND-0000287,APP-0000297,REQ-2025-00003,start,2025-06-16,,2025-06-18T15:46:37Z,2026-05-31T23:59:59Z
WE-0000021,W-100018,CAND-0000262,APP-0000269,REQ-2025-00003,start,2025-06-23,,2025-06-26T11:30:19Z,2026-05-31T23:59:59Z
WE-0000022,W-100016,CAND-0000297,APP-0000308,REQ-2025-00003,termination,2025-07-06,involuntary_probation,2025-07-11T08:15:45Z,2026-05-31T23:59:59Z
WE-0000023,W-100019,CAND-0000314,APP-0000325,REQ-2025-00002,start,2025-09-01,,2025-09-02T16:19:51Z,2026-05-31T23:59:59Z
WE-0000024,W-100020,CAND-0000322,APP-0000333,REQ-2025-00005,start,2025-09-22,,2025-09-24T17:35:00Z,2026-05-31T23:59:59Z
WE-0000025,W-100021,CAND-0000247,APP-0000342,REQ-2025-00006,start,2025-10-27,,2025-10-30T12:02:26Z,2026-05-31T23:59:59Z
WE-0000026,W-100021,CAND-0000247,APP-0000342,REQ-2025-00006,termination,2025-12-01,involuntary_performance,2025-12-02T16:41:12Z,2026-05-31T23:59:59Z
WE-0000027,W-100022,CAND-0000337,APP-0000349,REQ-2025-00007,start,2025-12-29,,2025-12-31T09:30:38Z,2026-05-31T23:59:59Z
WE-0000028,W-100007,CAND-0000106,APP-0000107,REQ-2024-00003,termination,2026-01-17,voluntary_resignation,2026-01-22T19:43:43Z,2026-05-31T23:59:59Z
WE-0000029,W-100023,CAND-0000379,APP-0000394,REQ-2025-00009,start,2026-02-16,,2026-02-16T08:24:25Z,2026-05-31T23:59:59Z
WE-0000030,W-100024,CAND-0000396,APP-0000412,REQ-2026-00001,start,2026-04-27,,2026-04-28T09:55:40Z,2026-05-31T23:59:59Z
WE-0000031,W-100024,CAND-0000396,APP-0000412,REQ-2026-00001,termination,2026-05-07,involuntary_probation,2026-05-07T17:39:22Z,2026-05-31T23:59:59Z
