application_id,requisition_id,offer_status_current,offer_extended_date,offer_accepted_date,offer_declined_date,offer_withdrawn_date,offer_rescinded_date,candidate_renege_date,planned_start_date,base_salary,currency,updated_at,extracted_at
APP-0000030,REQ-2024-00002,accepted,2024-02-08,2024-02-11,,,,,2024-03-04,60500,USD,2024-02-11T12:28:30Z,2026-05-31T23:59:59Z
APP-0000034,REQ-2024-00002,accepted,2024-02-11,2024-02-13,,,,,2024-03-11,63700,USD,2024-02-27T08:14:47Z,2026-05-31T23:59:59Z
APP-0000041,REQ-2024-00001,accepted,2024-02-23,2024-02-25,,,,,2024-03-25,99500,USD,2024-03-01T16:05:19Z,2026-05-31T23:59:59Z
APP-0000068,REQ-2024-00004,candidate_renege,2024-03-20,2024-03-26,,,,2024-04-04,2024-04-22,74500,USD,2024-04-04T10:44:41Z,2026-05-31T23:59:59Z
APP-0000086,REQ-2024-00005,accepted,2024-04-06,2024-04-09,,,,,2024-04-29,62000,USD,2024-04-09T10:34:56Z,2026-05-31T23:59:59Z
APP-0000089,REQ-2024-00006,accepted,2024-05-01,2024-05-04,,,,,2024-06-03,129000,USD,2024-05-17T15:02:25Z,2026-05-31T23:59:59Z
APP-0000101,REQ-2024-00004,offer_withdrawn,2024-05-14,,,2024-05-16,,,2024-06-11,70000,USD,2024-05-16T16:58:52Z,2026-05-31T23:59:59Z
APP-0000102,REQ-2024-00004,accepted,2024-05-12,2024-05-14,,,,,2024-06-10,73500,USD,2024-05-14T16:48:54Z,2026-05-31T23:59:59Z
APP-0000107,REQ-2024-00003,accepted,2024-06-21,2024-06-24,,,,,2024-07-15,93500,USD,2024-06-24T08:45:45Z,2026-05-31T23:59:59Z
APP-0000112,REQ-2024-00007,accepted,2024-06-09,2024-06-12,,,,,2024-07-22,98000,USD,2024-06-12T16:51:03Z,2026-05-31T23:59:59Z
APP-0000134,REQ-2024-00007,accepted,2024-06-26,2024-06-27,,,,,2024-07-29,93500,USD,2024-06-27T10:40:00Z,2026-05-31T23:59:59Z
APP-0000144,REQ-2024-00008,accepted,2024-07-30,2024-08-03,,,,,2024-09-02,96500,USD,2024-08-03T19:40:55Z,2026-05-31T23:59:59Z
APP-0000166,REQ-2024-00009,accepted,2024-09-05,2024-09-13,,,,,2024-10-14,83500,USD,2024-09-13T19:02:01Z,2026-05-31T23:59:59Z
APP-0000189,REQ-2024-00011,accepted,2024-12-21,2024-12-24,,,,,2025-01-27,79300,USD,2025-01-07T11:47:02Z,2026-05-31T23:59:59Z
APP-0000204,REQ-2024-00012,accepted,2025-02-07,2025-02-09,,,,,2025-03-03,86500,USD,2025-02-14T13:34:18Z,2026-05-31T23:59:59Z
APP-0000233,REQ-2025-00001,candidate_renege,2025-04-01,2025-04-02,,,,2025-04-07,2025-05-05,88500,USD,2025-04-07T08:34:02Z,2026-05-31T23:59:59Z
APP-0000269,REQ-2025-00003,accepted,2025-05-15,2025-05-21,,,,,2025-06-23,67500,USD,2025-05-21T13:52:33Z,2026-05-31T23:59:59Z
APP-0000276,REQ-2025-00001,accepted,2025-05-05,2025-05-07,,,,,2025-06-09,79000,USD,2025-05-19T14:16:17Z,2026-05-31T23:59:59Z
APP-0000279,REQ-2025-00001,offer_withdrawn,2025-05-06,,,2025-05-08,,,2025-06-03,76500,USD,2025-05-08T09:21:36Z,2026-05-31T23:59:59Z
APP-0000285,REQ-2025-00003,accepted,2025-05-14,2025-05-17,,,,,2025-06-09,77000,USD,2025-05-17T15:35:32Z,2026-05-31T23:59:59Z
APP-0000292,REQ-2025-00003,offer_withdrawn,2025-05-16,,,2025-05-24,,,2025-06-13,72000,USD,2025-05-24T08:55:02Z,2026-05-31T23:59:59Z
APP-0000297,REQ-2025-00003,accepted,2025-05-10,2025-05-11,,,,,2025-06-16,66000,USD,2025-05-11T17:00:25Z,2026-05-31T23:59:59Z
APP-0000308,REQ-2025-00003,accepted,2025-05-12,2025-05-17,,,,,2025-06-09,67000,USD,2025-05-17T16:02:14Z,2026-05-31T23:59:59Z
APP-0000325,REQ-2025-00002,accepted,2025-07-19,2025-07-22,,,,,2025-09-01,109000,USD,2025-07-26T16:05:13Z,2026-05-31T23:59:59Z
APP-0000333,REQ-2025-00005,accepted,2025-08-10,2025-08-12,,,,,2025-09-22,129000,USD,2025-08-12T11:16:29Z,2026-05-31T23:59:59Z
APP-0000342,REQ-2025-00006,accepted,2025-10-04,2025-10-05,,,,,2025-10-27,85000,USD,2025-10-05T09:17:16Z,2026-05-31T23:59:59Z
APP-0000347,REQ-2025-00006,offer_withdrawn,2025-10-04,,,2025-10-08,,,2025-11-01,72500,USD,2025-10-08T10:27:31Z,2026-05-31T23:59:59Z
APP-0000349,REQ-2025-00007,accepted,2025-11-08,2025-11-11,,,,,2025-12-29,194000,USD,2025-11-11T18:05:08Z,2026-05-31T23:59:59Z
APP-0000394,REQ-2025-00009,accepted,2026-01-01,2026-01-06,,,,,2026-02-16,83500,USD,2026-01-06T08:36:52Z,2026-05-31T23:59:59Z
APP-0000399,REQ-2025-00010,offer_declined,2026-01-07,,2026-01-13,,,,2026-02-04,86500,USD,2026-01-13T08:23:53Z,2026-05-31T23:59:59Z
APP-0000412,REQ-2026-00001,accepted,2026-03-22,2026-03-24,,,,,2026-04-27,70000,USD,2026-03-24T09:23:40Z,2026-05-31T23:59:59Z
APP-0000439,REQ-2026-00003,accepted,2026-05-03,2026-05-04,,,,,2026-06-01,60200,USD,2026-05-14T19:26:14Z,2026-05-31T23:59:59Z
