application_id,candidate_id,requisition_id,application_date,source_channel,application_status_current,current_stage_code,rejected_date,withdrawal_date,disposition_reason,updated_at,extracted_at
APP-0000001,CAND-0000001,REQ-2024-00001,2024-01-10,linkedin,rejected,review,2024-01-14,,experience_mismatch,2026-06-02T23:59:59Z,2026-05-31T23:59:59Z
APP-0000002,CAND-0000002,REQ-2024-00001,2024-01-10,job_board,rejected,review,2024-01-14,,experience_mismatch,2024-01-14T19:06:41Z,2026-05-31T23:59:59Z
APP-0000003,CAND-0000003,REQ-2024-00001,2024-01-11,linkedin,rejected,interview,2024-02-07,,interview_feedback,2024-02-07T14:45:43Z,2026-05-31T23:59:59Z
APP-0000004,CAND-0000004,REQ-2024-00001,2024-01-12,career_site,rejected,review,2024-01-14,,experience_mismatch,2024-01-14T17:50:44Z,2026-05-31T23:59:59Z
APP-0000005,CAND-0000005,REQ-2024-00002,2024-01-14,job_board,rejected,assessment,2024-01-22,,assessment_failed,2024-01-22T09:26:58Z,2026-05-31T23:59:59Z
APP-0000006,CAND-0000006,REQ-2024-00002,2024-01-14,career_site,withdrawn,review,,2024-01-18,no_response,2024-01-18T17:35:20Z,2026-05-31T23:59:59Z
APP-0000007,CAND-0000007,REQ-2024-00001,2024-01-15,sourced,rejected,review,2024-01-19,,experience_mismatch,2024-01-19T18:35:58Z,2026-05-31T23:59:59Z
APP-0000008,CAND-0000008,REQ-2024-00002,2024-01-15,internal,rejected,review,2024-01-18,,experience_mismatch,2024-01-18T13:04:31Z,2026-05-31T23:59:59Z
APP-0000009,CAND-0000009,REQ-2024-00002,2024-01-15,sourced,rejected,review,2024-01-16,,experience_mismatch,2024-01-16T10:27:21Z,2026-05-31T23:59:59Z
APP-0000010,CAND-0000010,REQ-2024-00002,2024-01-16,career_site,withdrawn,screen,,2024-01-24,accepted_other_offer,2024-01-24T09:05:48Z,2026-05-31T23:59:59Z
APP-0000011,CAND-0000011,REQ-2024-00002,2024-01-17,job_board,rejected,interview,2024-02-18,,position_filled,2024-02-18T09:47:38Z,2026-05-31T23:59:59Z
APP-0000012,CAND-0000012,REQ-2024-00002,2024-01-17,linkedin,rejected,review,2024-01-19,,not_qualified,2024-01-19T18:44:16Z,2026-05-31T23:59:59Z
APP-0000013,CAND-0000013,REQ-2024-00002,2024-01-17,job_board,rejected,screen,2024-01-23,,not_qualified,2024-01-23T19:44:22Z,2026-05-31T23:59:59Z
APP-0000014,CAND-0000014,REQ-2024-00002,2024-01-18,referral,rejected,review,2024-01-24,,experience_mismatch,2024-01-24T15:50:13Z,2026-05-31T23:59:59Z
APP-0000015,CAND-0000015,REQ-2024-00002,2024-01-18,career_site,rejected,review,2024-01-21,,not_qualified,2024-01-21T11:09:23Z,2026-05-31T23:59:59Z
APP-0000016,CAND-0000016,REQ-2024-00001,2024-01-19,sourced,rejected,interview,2024-02-16,,interview_feedback,2024-02-16T17:34:17Z,2026-05-31T23:59:59Z
APP-0000017,CAND-0000017,REQ-2024-00002,2024-01-19,linkedin,withdrawn,assessment,,2024-01-31,accepted_other_offer,2024-01-31T17:45:51Z,2026-05-31T23:59:59Z
APP-0000018,CAND-0000018,REQ-2024-00002,2024-01-19,linkedin,rejected,screen,2024-01-24,,not_qualified,2024-01-24T12:20:46Z,2026-05-31T23:59:59Z
APP-0000019,CAND-0000019,REQ-2024-00002,2024-01-20,referral,rejected,review,2024-01-25,,not_qualified,2024-01-25T17:09:28Z,2026-05-31T23:59:59Z
