application_id,candidate_id,requisition_id,application_date,source_channel,application_status,status_date,current_stage_code,disposition_reason
APP-0000001,CAND-0000001,REQ-2024-00003,2024-01-02,internal,rejected,2024-01-11,review,experience_mismatch
APP-0000002,CAND-0000002,REQ-2024-00008,2024-01-02,job_board,rejected,2024-01-11,screen,experience_mismatch
APP-0000003,CAND-0000003,REQ-2024-00010,2024-01-02,referral,withdrawn,2024-01-08,review,compensation_expectations
APP-0000004,CAND-0000004,REQ-2024-00012,2024-01-02,linkedin,rejected,2024-01-17,review,not_qualified
APP-0000005,CAND-0000005,REQ-2024-00012,2024-01-02,career_site,rejected,2024-01-05,review,experience_mismatch
APP-0000006,CAND-0000006,REQ-2024-00019,2024-01-02,referral,rejected,2024-01-06,review,not_qualified
APP-0000007,CAND-0000007,REQ-2024-00019,2024-01-02,sourced,rejected,2024-01-07,screen,not_qualified
APP-0000008,CAND-0000008,REQ-2024-00026,2024-01-02,sourced,rejected,2024-01-04,review,experience_mismatch
APP-0000009,CAND-0000009,REQ-2024-00026,2024-01-02,career_site,rejected,2024-01-10,screen,experience_mismatch
APP-0000010,CAND-0000010,REQ-2024-00028,2024-01-02,agency,rejected,2024-01-05,review,experience_mismatch
APP-0000011,CAND-0000011,REQ-2024-00033,2024-01-02,internal,offer_accepted,2024-01-28,offer,
APP-0000012,CAND-0000012,REQ-2024-00035,2024-01-02,career_site,rejected,2024-01-09,screen,experience_mismatch
APP-0000013,CAND-0000013,REQ-2024-00035,2024-01-02,career_site,rejected,2024-01-18,interview,interview_feedback
APP-0000014,CAND-0000014,REQ-2024-00035,2024-01-02,job_board,rejected,2024-01-08,review,not_qualified
APP-0000015,CAND-0000015,REQ-2024-00035,2024-01-02,linkedin,offer_accepted,2024-01-25,offer,
APP-0000016,CAND-0000016,REQ-2024-00037,2024-01-02,career_site,rejected,2024-01-21,screen,experience_mismatch
APP-0000017,CAND-0000017,REQ-2024-00044,2024-01-02,sourced,rejected,2024-01-28,interview,interview_feedback
APP-0000018,CAND-0000018,REQ-2024-00048,2024-01-02,sourced,rejected,2024-01-09,review,not_qualified
APP-0000019,CAND-0000019,REQ-2024-00049,2024-01-02,sourced,rejected,2024-01-20,review,experience_mismatch
APP-0000020,CAND-0000020,REQ-2024-00049,2024-01-02,internal,withdrawn,2024-01-21,screen,compensation_expectations
