offer_version_id,offer_id,application_id,requisition_id,offer_cycle_number,offer_version_number,version_reason,offer_status,is_current_version,offer_extended_date,offer_accepted_date,offer_declined_date,offer_withdrawn_date,offer_rescinded_date,candidate_renege_date,proposed_start_date,base_salary,currency
OFR-000001-V1,OFR-000001,APP-0000008,REQ-2024-00028,1,1,initial,accepted,true,2024-01-20,2024-01-23,,,,,2024-02-12,81000,USD
OFR-000002-V1,OFR-000002,APP-0000044,REQ-2024-00045,1,1,initial,accepted,true,2024-02-18,2024-02-20,,,,,2024-04-01,145000,USD
OFR-000003-V1,OFR-000003,APP-0000050,REQ-2024-00063,1,1,initial,accepted,true,2024-01-19,2024-01-22,,,,,2024-02-12,75500,USD
OFR-000004-V1,OFR-000004,APP-0000052,REQ-2024-00068,1,1,initial,accepted,true,2024-01-28,2024-02-02,,,,,2024-03-11,111500,USD
OFR-000005-V1,OFR-000005,APP-0000056,REQ-2024-00008,1,1,initial,accepted,true,2024-01-17,2024-01-18,,,,,2024-02-12,75000,USD
OFR-000006-V1,OFR-000006,APP-0000085,REQ-2024-00035,1,1,initial,accepted,true,2024-01-17,2024-01-19,,,,,2024-02-19,86000,USD
OFR-000007-V1,OFR-000007,APP-0000086,REQ-2024-00035,1,1,initial,accepted,true,2024-03-17,2024-03-22,,,,,2024-04-29,83500,USD
OFR-000008-V1,OFR-000008,APP-0000092,REQ-2024-00038,1,1,initial,accepted,true,2024-02-05,2024-02-11,,,,,2024-04-01,162000,USD
OFR-000009-V1,OFR-000009,APP-0000113,REQ-2024-00024,1,1,initial,accepted,true,2024-01-26,2024-01-29,,,,,2024-03-11,131000,USD
OFR-000010-V1,OFR-000010,APP-0000118,REQ-2024-00026,1,1,initial,superseded,false,2024-01-26,,,,,,2024-03-11,98000,USD
OFR-000010-V2,OFR-000010,APP-0000118,REQ-2024-00026,1,2,negotiation_revision,accepted,true,2024-01-27,2024-01-29,,,,,2024-03-11,105000,USD
OFR-000011-V1,OFR-000011,APP-0000130,REQ-2024-00036,1,1,initial,accepted,true,2024-02-02,2024-02-08,,,,,2024-03-04,62000,USD
OFR-000012-V1,OFR-000012,APP-0000148,REQ-2024-00056,1,1,initial,declined,true,2024-02-01,,2024-02-08,,,,2024-02-29,107000,USD
OFR-000013-V1,OFR-000013,APP-0000151,REQ-2024-00062,1,1,initial,accepted,true,2024-01-21,2024-01-23,,,,,2024-03-04,106500,USD
OFR-000014-V1,OFR-000014,APP-0000158,REQ-2024-00070,1,1,initial,accepted,true,2024-02-17,2024-02-18,,,,,2024-03-25,79500,USD
OFR-000015-V1,OFR-000015,APP-0000170,REQ-2024-00080,1,1,initial,accepted,true,2024-02-23,2024-03-02,,,,,2024-04-01,121500,USD
OFR-000016-V1,OFR-000016,APP-0000178,REQ-2024-00096,1,1,initial,declined,true,2024-01-27,,2024-02-03,,,,2024-02-24,104000,USD
OFR-000017-V1,OFR-000017,APP-0000197,REQ-2024-00017,1,1,initial,rescinded,true,2024-01-26,2024-01-31,,,2024-02-14,,2024-03-04,75500,USD
OFR-000018-V1,OFR-000018,APP-0000199,REQ-2024-00019,1,1,initial,accepted,false,2024-02-01,2024-02-05,,,,,2024-03-11,106000,USD
OFR-000018-V2,OFR-000018,APP-0000199,REQ-2024-00019,1,2,letter_reissue,rescinded,true,2024-02-18,2024-02-18,,,2024-03-04,,2024-03-11,106000,USD
OFR-000019-V1,OFR-000019,APP-0000206,REQ-2024-00032,1,1,initial,accepted,false,2024-02-10,2024-02-14,,,,,2024-04-15,206500,USD
OFR-000019-V2,OFR-000019,APP-0000206,REQ-2024-00032,1,2,letter_reissue,accepted,true,2024-02-28,2024-02-28,,,,,2024-04-15,206500,USD
OFR-000020-V1,OFR-000020,APP-0000236,REQ-2024-00069,1,1,initial,accepted,true,2024-01-27,2024-01-28,,,,,2024-02-19,51000,USD
OFR-000021-V1,OFR-000021,APP-0000250,REQ-2024-00084,1,1,initial,superseded,false,2024-02-10,,,,,,2024-03-11,100000,USD
OFR-000021-V2,OFR-000021,APP-0000250,REQ-2024-00084,1,2,negotiation_revision,accepted,false,2024-02-13,2024-02-14,,,,,2024-03-11,104000,USD
OFR-000021-V3,OFR-000021,APP-0000250,REQ-2024-00084,1,3,letter_reissue,accepted,true,2024-02-26,2024-02-26,,,,,2024-03-11,104000,USD
OFR-000022-V1,OFR-000022,APP-0000271,REQ-2024-00007,1,1,initial,withdrawn,true,2024-02-08,,,2024-02-10,,,2024-03-07,70000,USD
OFR-000023-V1,OFR-000023,APP-0000277,REQ-2024-00014,1,1,initial,accepted,true,2024-02-09,2024-02-11,,,,,2024-03-18,105000,USD
OFR-000024-V1,OFR-000024,APP-0000311,REQ-2024-00044,1,1,initial,accepted,true,2024-01-26,2024-01-30,,,,,2024-02-26,80000,USD
OFR-000025-V1,OFR-000025,APP-0000330,REQ-2024-00069,1,1,initial,accepted,true,2024-01-28,2024-01-31,,,,,2024-02-12,44500,USD
OFR-000026-V1,OFR-000026,APP-0000339,REQ-2024-00083,1,1,initial,accepted,false,2024-02-01,2024-02-04,,,,,2024-03-11,133000,USD
OFR-000026-V2,OFR-000026,APP-0000339,REQ-2024-00083,1,2,start_date_revision,accepted,true,2024-02-08,2024-02-08,,,,,2024-03-25,133000,USD
OFR-000027-V1,OFR-000027,APP-0000356,REQ-2024-00112,1,1,initial,accepted,true,2024-01-20,2024-01-22,,,,,2024-02-12,54000,USD
OFR-000028-V1,OFR-000028,APP-0000357,REQ-2024-00112,1,1,initial,accepted,true,2024-01-27,2024-01-30,,,,,2024-02-26,62500,USD
OFR-000029-V1,OFR-000029,APP-0000365,REQ-2024-00133,1,1,initial,rescinded,true,2024-01-17,2024-01-20,,,2024-02-16,,2024-02-19,83500,USD
OFR-000030-V1,OFR-000030,APP-0000366,REQ-2024-00133,1,1,initial,superseded,false,2024-01-30,,,,,,2024-03-04,89000,USD
OFR-000030-V2,OFR-000030,APP-0000366,REQ-2024-00133,1,2,negotiation_revision,accepted,true,2024-01-31,2024-02-02,,,,,2024-03-04,94000,USD
OFR-000031-V1,OFR-000031,APP-0000373,REQ-2024-00008,1,1,initial,accepted,true,2024-02-01,2024-02-02,,,,,2024-02-26,74000,USD
OFR-000032-V1,OFR-000032,APP-0000384,REQ-2024-00019,1,1,initial,rescinded,true,2024-02-04,2024-02-07,,,2024-03-04,,2024-03-18,100500,USD
OFR-000033-V1,OFR-000033,APP-0000391,REQ-2024-00025,1,1,initial,accepted,false,2024-01-21,2024-01-23,,,,,2024-02-26,77000,USD
OFR-000033-V2,OFR-000033,APP-0000391,REQ-2024-00025,1,2,salary_correction,accepted,true,2024-01-26,2024-01-26,,,,,2024-02-26,78000,USD
OFR-000034-V1,OFR-000034,APP-0000396,REQ-2024-00028,1,1,initial,declined,true,2024-01-28,,2024-01-30,,,,2024-02-25,74500,USD
OFR-000035-V1,OFR-000035,APP-0000397,REQ-2024-00028,1,1,initial,accepted,true,2024-01-30,2024-02-02,,,,,2024-03-04,72500,USD
OFR-000036-V1,OFR-000036,APP-0000400,REQ-2024-00031,1,1,initial,accepted,true,2024-02-02,2024-02-06,,,,,2024-02-26,57500,USD
OFR-000037-V1,OFR-000037,APP-0000409,REQ-2024-00037,1,1,initial,accepted,true,2024-01-27,2024-01-29,,,,,2024-02-12,44500,USD
OFR-000038-V1,OFR-000038,APP-0000425,REQ-2024-00052,1,1,initial,declined,true,2024-02-02,,2024-02-04,,,,2024-03-01,78500,USD
OFR-000039-V1,OFR-000039,APP-0000441,REQ-2024-00063,1,1,initial,accepted,true,2024-02-05,2024-02-08,,,,,2024-03-04,77000,USD
OFR-000040-V1,OFR-000040,APP-0000442,REQ-2024-00063,1,1,initial,accepted,true,2024-01-25,2024-01-31,,,,,2024-03-04,83500,USD
OFR-000041-V1,OFR-000041,APP-0000443,REQ-2024-00064,1,1,initial,declined,true,2024-02-14,,2024-02-19,,,,2024-03-13,113500,USD
OFR-000042-V1,OFR-000042,APP-0000445,REQ-2024-00067,1,1,initial,accepted,true,2024-01-26,2024-01-30,,,,,2024-03-25,140500,USD
OFR-000043-V1,OFR-000043,APP-0000453,REQ-2024-00072,1,1,initial,accepted,true,2024-02-08,2024-02-11,,,,,2024-03-11,82000,USD
OFR-000044-V1,OFR-000044,APP-0000456,REQ-2024-00080,1,1,initial,accepted,true,2024-02-03,2024-02-14,,,,,2024-03-25,122500,USD
OFR-000045-V1,OFR-000045,APP-0000467,REQ-2024-00112,1,1,initial,withdrawn,true,2024-01-26,,,2024-01-30,,,2024-02-23,56500,USD
OFR-000046-V1,OFR-000046,APP-0000480,REQ-2024-00141,1,1,initial,accepted,true,2024-02-08,2024-02-13,,,,,2024-03-25,133000,USD
OFR-000047-V1,OFR-000047,APP-0000491,REQ-2024-00025,1,1,initial,accepted,true,2024-01-28,2024-02-02,,,,,2024-02-26,77500,USD
OFR-000048-V1,OFR-000048,APP-0000525,REQ-2024-00063,1,1,initial,superseded,false,2024-02-01,,,,,,2024-02-26,85000,USD
OFR-000048-V2,OFR-000048,APP-0000525,REQ-2024-00063,1,2,negotiation_revision,accepted,true,2024-02-02,2024-02-03,,,,,2024-02-26,88500,USD
OFR-000049-V1,OFR-000049,APP-0000526,REQ-2024-00063,1,1,initial,superseded,false,2024-01-23,,,,,,2024-02-19,73500,USD
OFR-000049-V2,OFR-000049,APP-0000526,REQ-2024-00063,1,2,negotiation_revision,accepted,true,2024-01-24,2024-01-25,,,,,2024-02-19,79500,USD
OFR-000050-V1,OFR-000050,APP-0000529,REQ-2024-00069,1,1,initial,accepted,false,2024-01-26,2024-01-29,,,,,2024-02-19,46500,USD
OFR-000050-V2,OFR-000050,APP-0000529,REQ-2024-00069,1,2,start_date_revision,accepted,true,2024-02-05,2024-02-05,,,,,2024-03-04,46500,USD
OFR-000051-V1,OFR-000051,APP-0000535,REQ-2024-00081,1,1,initial,superseded,false,2024-01-31,,,,,,2024-02-26,78500,USD
OFR-000051-V2,OFR-000051,APP-0000535,REQ-2024-00081,1,2,negotiation_revision,accepted,true,2024-02-02,2024-02-03,,,,,2024-02-26,82000,USD
OFR-000052-V1,OFR-000052,APP-0000542,REQ-2024-00092,1,1,initial,accepted,false,2024-01-31,2024-02-03,,,,,2024-02-26,73000,USD
OFR-000052-V2,OFR-000052,APP-0000542,REQ-2024-00092,1,2,letter_reissue,rescinded,true,2024-02-08,2024-02-08,,,2024-02-10,,2024-02-26,73000,USD
OFR-000053-V1,OFR-000053,APP-0000547,REQ-2024-00096,1,1,initial,accepted,false,2024-02-05,2024-02-13,,,,,2024-03-11,100000,USD
OFR-000053-V2,OFR-000053,APP-0000547,REQ-2024-00096,1,2,letter_reissue,accepted,true,2024-02-17,2024-02-17,,,,,2024-03-11,100000,USD
OFR-000054-V1,OFR-000054,APP-0000576,REQ-2024-00133,1,1,initial,withdrawn,true,2024-02-08,,,2024-02-11,,,2024-03-07,83000,USD
OFR-000055-V1,OFR-000055,APP-0000587,REQ-2024-00008,1,1,initial,declined,true,2024-01-30,,2024-01-31,,,,2024-02-27,68500,USD
OFR-000056-V1,OFR-000056,APP-0000597,REQ-2024-00021,1,1,initial,accepted,false,2024-01-31,2024-02-02,,,,,2024-02-26,51000,USD
OFR-000056-V2,OFR-000056,APP-0000597,REQ-2024-00021,1,2,letter_reissue,rescinded,true,2024-02-08,2024-02-08,,,2024-02-08,,2024-02-26,51000,USD
OFR-000057-V1,OFR-000057,APP-0000604,REQ-2024-00034,1,1,initial,withdrawn,true,2024-01-28,,,2024-02-01,,,2024-02-25,72000,USD
OFR-000058-V1,OFR-000058,APP-0000614,REQ-2024-00037,1,1,initial,superseded,false,2024-01-25,,,,,,2024-02-12,48500,USD
OFR-000058-V2,OFR-000058,APP-0000614,REQ-2024-00037,1,2,negotiation_revision,accepted,false,2024-01-26,2024-01-27,,,,,2024-02-12,50000,USD
OFR-000058-V3,OFR-000058,APP-0000614,REQ-2024-00037,1,3,letter_reissue,accepted,true,2024-02-07,2024-02-07,,,,,2024-02-12,50000,USD
OFR-000059-V1,OFR-000059,APP-0000617,REQ-2024-00040,1,1,initial,accepted,true,2024-02-05,2024-02-06,,,,,2024-03-11,70000,USD
OFR-000060-V1,OFR-000060,APP-0000621,REQ-2024-00047,1,1,initial,accepted,false,2024-02-13,2024-02-20,,,,,2024-04-01,98500,USD
OFR-000060-V2,OFR-000060,APP-0000621,REQ-2024-00047,1,2,letter_reissue,accepted,true,2024-02-24,2024-02-24,,,,,2024-04-01,98500,USD
OFR-000061-V1,OFR-000061,APP-0000622,REQ-2024-00051,1,1,initial,accepted,true,2024-02-06,2024-02-09,,,,,2024-03-18,94500,USD
OFR-000062-V1,OFR-000062,APP-0000645,REQ-2024-00081,1,1,initial,accepted,true,2024-01-31,2024-02-02,,,,,2024-02-26,85500,USD
OFR-000063-V1,OFR-000063,APP-0000659,REQ-2024-00115,1,1,initial,accepted,false,2024-02-02,2024-02-05,,,,,2024-03-11,79500,USD
OFR-000063-V2,OFR-000063,APP-0000659,REQ-2024-00115,1,2,start_date_revision,accepted,true,2024-02-11,2024-02-11,,,,,2024-04-01,79500,USD
OFR-000064-V1,OFR-000064,APP-0000677,REQ-2024-00133,1,1,initial,accepted,true,2024-02-01,2024-02-03,,,,,2024-03-18,77500,USD
OFR-000065-V1,OFR-000065,APP-0000680,REQ-2024-00136,1,1,initial,superseded,false,2024-01-25,,,,,,2024-03-11,80500,USD
OFR-000065-V2,OFR-000065,APP-0000680,REQ-2024-00136,1,2,negotiation_revision,accepted,false,2024-01-28,2024-01-29,,,,,2024-03-11,83500,USD
OFR-000065-V3,OFR-000065,APP-0000680,REQ-2024-00136,1,3,salary_correction,accepted,true,2024-01-31,2024-01-31,,,,,2024-03-11,85000,USD
OFR-000066-V1,OFR-000066,APP-0000686,REQ-2024-00145,1,1,initial,accepted,true,2024-01-19,2024-01-23,,,,,2024-02-19,44000,USD
OFR-000067-V1,OFR-000067,APP-0000693,REQ-2024-00147,1,1,initial,accepted,true,2024-01-26,2024-02-03,,,,,2024-03-18,80500,USD
OFR-000068-V1,OFR-000068,APP-0000698,REQ-2024-00158,1,1,initial,declined,true,2024-01-26,,2024-01-27,,,,2024-02-23,89000,USD
OFR-000069-V1,OFR-000069,APP-0000700,REQ-2024-00160,1,1,initial,superseded,false,2024-02-01,,,,,,2024-02-29,43500,USD
OFR-000069-V2,OFR-000069,APP-0000700,REQ-2024-00160,1,2,negotiation_revision,withdrawn,true,2024-02-03,,,2024-02-07,,,2024-02-29,45000,USD
OFR-000070-V1,OFR-000070,APP-0000713,REQ-2024-00012,1,1,initial,accepted,true,2024-02-06,2024-02-09,,,,,2024-02-26,57500,USD
OFR-000071-V1,OFR-000071,APP-0000720,REQ-2024-00023,1,1,initial,declined,true,2024-01-24,,2024-01-26,,,,2024-02-21,47500,USD
OFR-000072-V1,OFR-000072,APP-0000739,REQ-2024-00043,1,1,initial,declined,true,2024-02-07,,2024-02-10,,,,2024-03-06,118000,USD
OFR-000073-V1,OFR-000073,APP-0000767,REQ-2024-00075,1,1,initial,accepted,true,2024-01-24,2024-01-27,,,,,2024-02-26,74500,USD
OFR-000074-V1,OFR-000074,APP-0000778,REQ-2024-00085,1,1,initial,accepted,true,2024-01-23,2024-01-26,,,,,2024-02-26,78000,USD
OFR-000075-V1,OFR-000075,APP-0000781,REQ-2024-00094,1,1,initial,superseded,false,2024-02-02,,,,,,2024-04-01,153500,USD
OFR-000075-V2,OFR-000075,APP-0000781,REQ-2024-00094,1,2,negotiation_revision,accepted,false,2024-02-05,2024-02-08,,,,,2024-04-01,161000,USD
OFR-000075-V3,OFR-000075,APP-0000781,REQ-2024-00094,1,3,start_date_revision,reneged,true,2024-02-11,2024-02-11,,,,2024-03-01,2024-04-17,161000,USD
