snapshot_date,requisition_id,requisition_title,business_unit_code,job_family_code,job_level_code,work_location,hiring_manager_id,recruiter_id,requisition_status,approval_date,target_hire_date,target_offer_acceptance_date,requested_positions,openings_position,cancelled_positions,hiring_constraint_code,updated_at,extracted_at
2024-01-31,REQ-2024-00001,Senior Software Engineer,ENG,SWE,L3,Remote,HM-0136,REC-17,open,2024-01-01,2024-03-24,2024-03-10,1,1,0,no_material_constraint,2024-01-28T16:20:23Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00002,Manager Operations Specialist,OPS,OPS,L5,Toronto,HM-0099,REC-13,open,2024-01-01,2024-04-10,2024-03-27,1,1,0,no_material_constraint,2024-01-15T08:04:32Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00003,Manager Customer Success Manager,CSX,CSM,L5,Dublin,HM-0141,REC-17,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,no_material_constraint,2024-01-01T18:36:08Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00004,Senior Customer Success Manager,CSX,CSM,L3,Toronto,HM-0074,REC-02,open,2024-01-01,2024-03-19,2024-03-05,1,1,0,no_material_constraint,2024-01-28T10:29:09Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00005,Associate Account Executive,SAL,SLS,L1,Toronto,HM-0109,REC-10,filled,2024-01-01,2024-01-22,2024-01-08,1,0,0,no_material_constraint,2024-01-31T17:26:10Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00006,IT Systems Engineer,ENG,ITS,L2,London,HM-0144,REC-14,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,interview_capacity,2024-01-01T16:29:39Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00007,Marketing Specialist,SAL,MKT,L2,Dublin,HM-0093,REC-13,open,2024-01-01,2024-03-07,2024-02-22,1,1,0,no_material_constraint,2024-01-16T14:29:08Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00008,Customer Success Manager,CSX,CSM,L2,London,HM-0101,REC-10,open,2024-01-01,2024-01-22,2024-01-08,3,2,0,compensation,2024-01-18T17:13:50Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00009,Software Engineer,ENG,SWE,L2,Remote,HM-0004,REC-02,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T10:49:50Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00010,Manager Software Engineer,ENG,SWE,L5,Remote,HM-0032,REC-17,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T19:45:40Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00011,Senior Software Engineer,ENG,SWE,L3,London,HM-0114,REC-13,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,interview_capacity,2024-01-01T16:24:51Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00012,Associate Marketing Specialist,PRD,MKT,L1,Dublin,HM-0110,REC-18,open,2024-01-01,2024-03-19,2024-03-05,3,3,0,no_material_constraint,2024-01-27T13:53:19Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00013,Software Engineer,ENG,SWE,L2,Dublin,HM-0034,REC-15,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,qualified_candidates,2024-01-01T15:14:05Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00014,Senior IT Systems Engineer,ENG,ITS,L3,London,HM-0094,REC-14,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,interview_capacity,2024-01-01T10:52:40Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00015,Senior IT Systems Engineer,ENG,ITS,L3,Dublin,HM-0083,REC-11,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T10:30:39Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00016,Senior Financial Analyst,GNA,FIN,L3,London,HM-0020,REC-15,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T17:23:34Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00017,Financial Analyst,GNA,FIN,L2,Austin,HM-0124,REC-10,filled,2024-01-01,2024-01-22,2024-01-08,1,0,0,no_material_constraint,2024-01-31T19:54:49Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00018,Director Software Engineer,ENG,SWE,L6,Dublin,HM-0119,REC-19,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,qualified_candidates,2024-01-01T15:18:52Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00019,Senior Account Executive,SAL,SLS,L3,Dublin,HM-0121,REC-22,open,2024-01-01,2024-03-15,2024-03-01,5,5,0,no_material_constraint,2024-01-24T10:01:37Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00020,Software Engineer,ENG,SWE,L2,Berlin,HM-0078,REC-04,open,2024-01-01,2024-03-19,2024-03-05,2,2,0,no_material_constraint,2024-01-21T12:56:01Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00021,Associate Operations Specialist,CSX,OPS,L1,Dublin,HM-0062,REC-08,open,2024-01-01,2024-03-14,2024-02-29,1,1,0,no_material_constraint,2024-01-28T10:55:35Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00022,Account Executive,SAL,SLS,L2,Austin,HM-0147,REC-19,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,interview_capacity,2024-01-01T17:31:16Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00023,Associate Operations Specialist,OPS,OPS,L1,Dublin,HM-0045,REC-06,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,compensation,2024-01-01T14:32:51Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00024,Senior Product Manager,PRD,PDM,L3,Austin,HM-0147,REC-14,filled,2024-01-01,2024-01-22,2024-01-08,1,0,0,no_material_constraint,2024-01-29T16:24:36Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00025,Account Executive,SAL,SLS,L2,Remote,HM-0134,REC-06,open,2024-01-01,2024-01-22,2024-01-08,2,1,0,interview_capacity,2024-01-23T12:38:23Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00026,Senior Customer Success Manager,CSX,CSM,L3,Dublin,HM-0068,REC-09,open,2024-01-01,2024-01-22,2024-01-08,2,1,0,hiring_manager_delay,2024-01-29T08:04:31Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00027,Data Engineer,ENG,DAT,L2,Toronto,HM-0157,REC-22,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,qualified_candidates,2024-01-01T17:59:43Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00028,Account Executive,SAL,SLS,L2,Dublin,HM-0065,REC-12,open,2024-01-01,2024-01-22,2024-01-08,2,1,0,compensation,2024-01-23T19:22:10Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00029,Senior Operations Specialist,OPS,OPS,L3,Berlin,HM-0107,REC-05,open,2024-01-01,2024-04-15,2024-04-01,1,1,0,no_material_constraint,2024-01-30T13:13:51Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00030,Senior IT Systems Engineer,GNA,ITS,L3,Remote,HM-0010,REC-06,open,2024-01-01,2024-04-19,2024-04-05,1,1,0,no_material_constraint,2024-01-25T19:02:32Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00031,Operations Specialist,OPS,OPS,L2,Dublin,HM-0073,REC-07,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T16:05:44Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00032,Director Account Executive,SAL,SLS,L6,London,HM-0084,REC-14,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T18:22:57Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00033,IT Systems Engineer,ENG,ITS,L2,Austin,HM-0025,REC-01,open,2024-01-01,2024-03-28,2024-03-14,1,1,0,no_material_constraint,2024-01-25T09:32:22Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00034,Account Executive,SAL,SLS,L2,Toronto,HM-0121,REC-17,open,2024-01-01,2024-03-22,2024-03-08,7,6,0,no_material_constraint,2024-01-30T17:21:38Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00035,Senior Operations Specialist,OPS,OPS,L3,Remote,HM-0113,REC-06,open,2024-01-01,2024-03-16,2024-03-02,5,4,0,no_material_constraint,2024-01-25T08:54:18Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00036,Operations Specialist,OPS,OPS,L2,Austin,HM-0073,REC-20,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T08:41:01Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00037,Associate Operations Specialist,CSX,OPS,L1,Remote,HM-0047,REC-09,filled,2024-01-01,2024-01-22,2024-01-08,2,0,0,no_material_constraint,2024-01-29T13:59:54Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00038,Manager Financial Analyst,GNA,FIN,L5,London,HM-0116,REC-11,open,2024-01-01,2024-04-12,2024-03-29,1,1,0,no_material_constraint,2024-01-27T16:11:55Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00039,Associate Operations Specialist,OPS,OPS,L1,Dublin,HM-0012,REC-13,open,2024-01-01,2024-01-22,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T16:51:44Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00040,People Partner,GNA,PPL,L2,Austin,HM-0142,REC-17,open,2024-01-01,2024-01-29,2024-01-08,1,1,0,hiring_manager_delay,2024-01-01T11:52:54Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00041,Account Executive,SAL,SLS,L2,Dublin,HM-0007,REC-03,open,2024-01-01,2024-04-25,2024-04-04,1,1,0,no_material_constraint,2024-01-20T08:43:47Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00042,Senior IT Systems Engineer,OPS,ITS,L3,Toronto,HM-0072,REC-15,open,2024-01-01,2024-02-05,2024-01-08,1,1,0,niche_skills,2024-01-01T15:03:20Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00043,Senior Product Manager,PRD,PDM,L3,Berlin,HM-0138,REC-20,open,2024-01-01,2024-05-09,2024-03-31,1,1,0,qualified_candidates,2024-01-19T17:39:42Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00044,Account Executive,SAL,SLS,L2,Toronto,HM-0027,REC-14,open,2024-01-01,2024-02-19,2024-01-13,3,2,0,interview_capacity,2024-01-30T08:21:06Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00045,Lead IT Systems Engineer,OPS,ITS,L4,Remote,HM-0027,REC-16,open,2024-01-01,2024-02-26,2024-01-11,1,1,0,interview_capacity,2024-01-01T08:28:45Z,2026-05-31T23:59:59Z
2024-01-31,REQ-2024-00046,People Partner,GNA,PPL,L2,Dublin,HM-0117,REC-03,open,2024-01-01,2024-02-26,2024-01-22,1,1,0,hiring_manager_delay,2024-01-01T15:37:08Z,2026-05-31T23:59:59Z
