worker_event_id,worker_id,candidate_id,application_id,requisition_id,event_type,event_date,termination_reason,updated_at,extracted_at
WE-0000001,W-100001,CAND-0000008,APP-0000008,REQ-2024-00028,start,2024-02-12,,2024-02-12T09:12:41Z,2026-05-31T23:59:59Z
WE-0000002,W-100002,CAND-0000050,APP-0000050,REQ-2024-00063,start,2024-02-12,,2024-02-14T14:07:47Z,2026-05-31T23:59:59Z
WE-0000003,W-100003,CAND-0000056,APP-0000056,REQ-2024-00008,start,2024-02-12,,2024-02-14T18:32:05Z,2026-05-31T23:59:59Z
WE-0000004,W-100004,CAND-0000330,APP-0000330,REQ-2024-00069,start,2024-02-12,,2024-02-12T10:25:10Z,2026-05-31T23:59:59Z
WE-0000005,W-100005,CAND-0000356,APP-0000356,REQ-2024-00112,start,2024-02-12,,2024-02-14T17:26:40Z,2026-05-31T23:59:59Z
WE-0000006,W-100006,CAND-0000409,APP-0000409,REQ-2024-00037,start,2024-02-12,,2024-02-14T12:27:22Z,2026-05-31T23:59:59Z
WE-0000007,W-100007,CAND-0000614,APP-0000614,REQ-2024-00037,start,2024-02-12,,2024-02-12T18:11:08Z,2026-05-31T23:59:59Z
WE-0000008,W-100008,CAND-0001284,APP-0001284,REQ-2024-00005,start,2024-02-12,,2024-02-14T11:35:09Z,2026-05-31T23:59:59Z
WE-0000009,W-100009,CAND-0000085,APP-0000085,REQ-2024-00035,start,2024-02-19,,2024-02-22T17:44:27Z,2026-05-31T23:59:59Z
WE-0000010,W-100010,CAND-0000236,APP-0000236,REQ-2024-00069,start,2024-02-19,,2024-02-21T18:29:50Z,2026-05-31T23:59:59Z
WE-0000011,W-100011,CAND-0000526,APP-0000526,REQ-2024-00063,start,2024-02-19,,2024-02-22T10:16:40Z,2026-05-31T23:59:59Z
WE-0000012,W-100012,CAND-0000686,APP-0000686,REQ-2024-00145,start,2024-02-19,,2024-02-20T14:49:22Z,2026-05-31T23:59:59Z
WE-0000013,W-100013,CAND-0000825,APP-0000825,REQ-2024-00160,start,2024-02-19,,2024-02-21T17:36:36Z,2026-05-31T23:59:59Z
WE-0000014,W-100014,CAND-0000956,APP-0000956,REQ-2024-00145,start,2024-02-19,,2024-02-20T09:01:59Z,2026-05-31T23:59:59Z
WE-0000015,W-100015,CAND-0002380,APP-0002384,REQ-2024-00211,start,2024-02-19,,2024-02-20T11:30:25Z,2026-05-31T23:59:59Z
WE-0000016,W-100016,CAND-0000311,APP-0000311,REQ-2024-00044,start,2024-02-26,,2024-02-28T08:09:15Z,2026-05-31T23:59:59Z
WE-0000017,W-100017,CAND-0000357,APP-0000357,REQ-2024-00112,start,2024-02-26,,2024-02-26T16:47:57Z,2026-05-31T23:59:59Z
WE-0000018,W-100018,CAND-0000373,APP-0000373,REQ-2024-00008,start,2024-02-26,,2024-02-26T11:38:20Z,2026-05-31T23:59:59Z
WE-0000019,W-100019,CAND-0000391,APP-0000391,REQ-2024-00025,start,2024-02-26,,2024-02-28T18:15:22Z,2026-05-31T23:59:59Z
WE-0000020,W-100020,CAND-0000400,APP-0000400,REQ-2024-00031,start,2024-02-26,,2024-02-28T15:46:37Z,2026-05-31T23:59:59Z
WE-0000021,W-100020,CAND-0000400,APP-0000400,REQ-2024-00031,start,2024-02-26,,2024-03-05T11:30:19Z,2026-05-31T23:59:59Z
WE-0000022,W-100021,CAND-0000491,APP-0000491,REQ-2024-00025,start,2024-02-26,,2024-02-27T08:15:45Z,2026-05-31T23:59:59Z
WE-0000023,W-100022,CAND-0000525,APP-0000525,REQ-2024-00063,start,2024-02-26,,2024-02-27T16:19:51Z,2026-05-31T23:59:59Z
WE-0000024,W-100023,CAND-0000535,APP-0000535,REQ-2024-00081,start,2024-02-26,,2024-02-26T17:35:00Z,2026-05-31T23:59:59Z
WE-0000025,W-100024,CAND-0000645,APP-0000645,REQ-2024-00081,start,2024-02-26,,2024-02-27T12:02:26Z,2026-05-31T23:59:59Z
WE-0000026,W-100025,CAND-0000713,APP-0000713,REQ-2024-00012,start,2024-02-26,,2024-02-27T16:41:12Z,2026-05-31T23:59:59Z
WE-0000027,W-100026,CAND-0000767,APP-0000767,REQ-2024-00075,start,2024-02-26,,2024-02-26T09:30:38Z,2026-05-31T23:59:59Z
WE-0000028,W-100027,CAND-0000778,APP-0000778,REQ-2024-00085,start,2024-02-26,,2024-02-29T19:43:43Z,2026-05-31T23:59:59Z
WE-0000029,W-100028,CAND-0001042,APP-0001042,REQ-2024-00081,start,2024-02-26,,2024-02-29T08:24:25Z,2026-05-31T23:59:59Z
WE-0000030,W-100029,CAND-0001081,APP-0001081,REQ-2024-00147,start,2024-02-26,,2024-02-26T09:55:40Z,2026-05-31T23:59:59Z
WE-0000031,W-100030,CAND-0001802,APP-0001803,REQ-2024-00193,start,2024-02-26,,2024-02-29T17:39:22Z,2026-05-31T23:59:59Z
WE-0000032,W-100031,CAND-0001857,APP-0001858,REQ-2024-00255,start,2024-02-26,,2024-02-26T12:25:20Z,2026-05-31T23:59:59Z
WE-0000033,W-100032,CAND-0001866,APP-0001867,REQ-2024-00289,start,2024-02-26,,2024-02-27T13:01:26Z,2026-05-31T23:59:59Z
